rank,name,year,certificate,runtime,genre,rating,story,director,cast,gross
"4,096.",Last Knights,(2015),R,115 min,"
Action, Drama, History            ",6.2,"
    A fallen warrior rises against a corrupt and sadistic ruler to avenge his dishonored master.",Kazuaki Kiriya,"Clive Owen, Morgan Freeman, Aksel Hennie, Payman Maadi",NaN
"4,097.",Palo Alto,(2013),R,100 min,"
Drama            ",6.2,"
    An unflinching portrait of adolescent lust, boredom, and self-destruction that centers around a shy young girl ""Emma Roberts"" on the cusp of an illicit relationship with her soccer coach ""James Franco"".",Gia Coppola,"Emma Roberts, James Franco, Jack Kilmer, Zoe Levin",$0.75M
"4,098.",Ninja: Shadow of a Tear,(2013),R,95 min,"
Action, Thriller            ",6.2,"
    Ninjitsu master Casey is back and out for revenge when his pregnant wife is murdered.",Isaac Florentine,"Scott Adkins, Kane Kosugi, Mika Hijii, Markus Waldow",NaN
"4,099.",Dom Hemingway,(2013),R,93 min,"
Comedy, Crime, Drama            ",6.2,"
    After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed.",Richard Shepard,"Jude Law, Richard E. Grant, Demián Bichir, Emilia Clarke",$0.52M
"4,100.",Dark Places,(2015),R,113 min,"
Crime, Drama, Mystery            ",6.2,"
    Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night.",Gilles Paquet-Brenner,"Charlize Theron, Nicholas Hoult, Christina Hendricks, Chloë Grace Moretz",NaN
"4,101.",Deliver Us from Evil,(I) (2014),A,118 min,"
Horror, Mystery, Thriller            ",6.2,"
    New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city.",Scott Derrickson,"Eric Bana, Edgar Ramírez, Olivia Munn, Chris Coy",$30.58M
"4,102.",Rememory,(2017),PG-13,111 min,"
Drama, Mystery, Sci-Fi            ",6.2,"
    Gordon invents the Rememory machine that allows him to see memories as they actually were. He dies in his office. Is it murder? Sam investigates by using the machine ""borrowed"" from Gordon's wife. He looks at memories of others involved.",Mark Palansky,"Peter Dinklage, Matt Ellis, Jordana Largy, Martin Donovan",NaN
"4,103.",Galveston,(2018),91 min,91 min,"
Action, Crime, Drama            ",6.2,"
    After escaping a set up, a dying hitman returns to his hometown of Galveston where he plans his revenge.",Mélanie Laurent,"Ben Foster, Jeffrey Grover, Christopher Amitrano, Mark Hicks",NaN
"4,104.",My Friend Dahmer,(2017),R,107 min,"
Biography, Drama, Horror            ",6.2,"
    A young Jeffrey Dahmer struggles to belong in high school.",Marc Meyers,"Ross Lynch, Alex Wolff, Anne Heche, Zachary Davis Brown",$1.36M
"4,105.",Fading Gigolo,(2013),R,90 min,"
Comedy, Romance            ",6.2,"
    Fioravante decides to become a professional Don Juan as a way of making money to help his cash-strapped friend, Murray. With Murray acting as his ""manager"", the duo quickly finds themselves caught up in the crosscurrents of love and money.",John Turturro,"John Turturro, Woody Allen, Sharon Stone, Sofía Vergara",$3.76M
"4,106.",Closed Circuit,(2013),R,96 min,"
Crime, Drama, Mystery            ",6.2,"
    A high-profile terrorism case unexpectedly binds together two ex-lovers on the defense team - testing the limits of their loyalties and placing their lives in jeopardy.",John Crowley,"Eric Bana, Rebecca Hall, Jim Broadbent, Ciarán Hinds",$5.73M
"4,107.",3 Days to Kill,(2014),A,117 min,"
Action, Drama, Thriller            ",6.2,"
    A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.",McG,"Kevin Costner, Hailee Steinfeld, Connie Nielsen, Amber Heard",$30.70M
"4,108.",Maps to the Stars,(2014),R,111 min,"
Comedy, Drama            ",6.2,"
    A tour into the heart of a Hollywood family chasing celebrity, one another and the relentless ghosts of their pasts.",David Cronenberg,"Julianne Moore, Mia Wasikowska, Robert Pattinson, John Cusack",$0.35M
"4,109.",Captain Underpants: The First Epic Movie,(2017),UA,89 min,"
Animation, Action, Comedy            ",6.2,"
    Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.",David Soren,"Kevin Hart, Thomas Middleditch, Ed Helms, Nick Kroll",$73.92M
"4,110.",Black Butterfly,(II) (2017),R,93 min,"
Crime, Mystery, Thriller            ",6.2,"
    A reclusive screenwriter takes in a lonely drifter, who is determined to repay his kindness by helping him finish his story.",Brian Goodman,"Antonio Banderas, Jonathan Rhys Meyers, Piper Perabo, Vincent Riotta",NaN
"4,111.",Open Grave,(2013),Unrated,102 min,"
Horror, Mystery, Thriller            ",6.2,"
    A man wakes up in the wilderness, in a pit full of dead bodies, with no memory and must determine if the murderer is one of the strangers who rescued him, or if he himself is the killer.",Gonzalo López-Gallego,"Sharlto Copley, Thomas Kretschmann, Josie Ho, Joseph Morgan",NaN
"4,112.",Our Kind of Traitor,(2016),R,108 min,"
Crime, Drama, Thriller            ",6.2,"
    A couple finds themselves lured into a Russian oligarch's plans to defect, and are soon positioned between the Russian Mafia and the British Secret Service, neither of whom they can trust.",Susanna White,"Carlos Acosta, Radivoje Bukvic, Stellan Skarsgård, Mariya Fomina",$3.15M
"4,113.",The Two Faces of January,(2014),PG-13,96 min,"
Romance, Thriller            ",6.2,"
    A thriller centered on a con artist, his wife, and a stranger who flee Athens after one of them is caught up in the death of a private detective.",Hossein Amini,"Viggo Mortensen, Kirsten Dunst, Oscar Isaac, Daisy Bevan",$0.51M
"4,114.",The Neon Demon,(2016),R,117 min,"
Horror, Thriller            ",6.2,"
    An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",Nicolas Winding Refn,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman",$1.33M
"4,115.",American Assassin,(2017),R,111 min,"
Action, Thriller            ",6.2,"
    After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley.",Michael Cuesta,"Dylan O'Brien, Michael Keaton, Sanaa Lathan, Taylor Kitsch",$36.25M
"4,116.",Parker,(2013),A,118 min,"
Action, Crime, Thriller            ",6.2,"
    A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",Taylor Hackford,"Jason Statham, Jennifer Lopez, Michael Chiklis, Nick Nolte",$17.62M
"4,117.",Hummingbird,(I) (2013),R,100 min,"
Action, Drama            ",6.2,"
    A damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity.",Steven Knight,"Jason Statham, Agata Buzek, Vicky McClure, Benedict Wong",$0.03M
"4,118.",Winter's Tale,(2014),A,118 min,"
Drama, Fantasy, Mystery            ",6.2,"
    A burglar falls for an heiress as she dies in his arms. When he learns that he has the gift of reincarnation, he sets out to save her.",Akiva Goldsman,"Colin Farrell, Jessica Brown Findlay, Russell Crowe, Jennifer Connelly",$0.02M
"4,119.",The Fifth Estate,(2013),UA,128 min,"
Biography, Crime, Drama            ",6.2,"
    A dramatic thriller based on real events that reveals the quest to expose the deceptions and corruptions of power that turned an Internet upstart into the 21st century's most fiercely debated organization.",Bill Condon,"Benedict Cumberbatch, Daniel Brühl, Carice van Houten, Alicia Vikander",$3.25M
"4,120.",Killing Them Softly,(2012),A,97 min,"
Crime, Drama, Thriller            ",6.2,"
    Jackie Cogan is an enforcer hired to restore order after three dumb guys rob a Mob protected card game, causing the local criminal economy to collapse.",Andrew Dominik,"Brad Pitt, Ray Liotta, Richard Jenkins, Scoot McNairy",$15.03M
"4,121.",This Is 40,(2012),R,134 min,"
Comedy, Romance            ",6.2,"
    Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",Judd Apatow,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow",$67.54M
"4,122.",Unlocked,(I) (2017),UA,98 min,"
Action, Drama, Mystery            ",6.2,"
    A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.",Michael Apted,"Noomi Rapace, Orlando Bloom, Toni Collette, John Malkovich",NaN
"4,123.","Alexander and the Terrible, Horrible, No Good, Very Bad Day",(2014),PG,81 min,"
Comedy, Family            ",6.2,"
    Alexander's day begins with gum stuck in his hair, followed by more calamities. However, he finds little sympathy from his family and begins to wonder if bad things only happen to him, his mom, dad, brother and sister - who all find themselves living through their own terrible, horrible, no good, very bad day.",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette",$66.95M
"4,124.",360,(2011),R,110 min,"
Drama, Thriller            ",6.2,"
    A dramatic thriller that weaves together the stories of an array of people from disparate social backgrounds through their intersecting relationships.",Fernando Meirelles,"Rachel Weisz, Jude Law, Anthony Hopkins, Ben Foster",$0.10M
"4,125.",Young Adult,(2011),R,94 min,"
Comedy, Drama            ",6.2,"
    Soon after her divorce, a fiction writer returns to her home in small-town Minnesota, looking to rekindle a romance with her ex-boyfriend, who is now happily married and has a newborn daughter.",Jason Reitman,"Charlize Theron, Patrick Wilson, Patton Oswalt, Elizabeth Reaser",$16.31M
"4,126.",Tiny Furniture,(2010),98 min,98 min,"
Comedy, Drama, Romance            ",6.2,"
    About a recent college grad who returns home while she tries to figure out what to do with her life.",Lena Dunham,"Lena Dunham, Laurie Simmons, Grace Dunham, Rachel Howe",$0.39M
"4,127.",Daddy's Home,(2015),UA,96 min,"
Comedy, Family            ",6.2,"
    Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns.",Sean Anders,"Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",$150.36M
"4,128.",Cedar Rapids,(2011),R,87 min,"
Comedy            ",6.2,"
    Tim Lippe has no idea what he's in for when he's sent to Cedar Rapids, Iowa to represent his company at an annual insurance convention, where he soon finds himself under the ""guidance"" of three convention veterans.",Miguel Arteta,"Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr.",$6.86M
"4,129.",Lovelace,(2013),R,93 min,"
Biography, Drama            ",6.2,"
    The story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband before taking control of her life.",Rob Epstein,"Jeffrey Friedman, Amanda Seyfried, Peter Sarsgaard, Sharon Stone",$0.36M
"4,130.",No Strings Attached,(I) (2011),A,108 min,"
Comedy, Romance            ",6.2,"
    A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.",Ivan Reitman,"Natalie Portman, Ashton Kutcher, Kevin Kline, Cary Elwes",$70.66M
"4,131.",Ride Along,(2014),PG-13,99 min,"
Action, Comedy, Crime            ",6.2,"
    Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta.",Tim Story,"Ice Cube, Kevin Hart, Tika Sumpter, John Leguizamo",$134.94M
"4,132.",Transformers: Dark of the Moon,(2011),UA,154 min,"
Action, Adventure, Sci-Fi            ",6.2,"
    The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",$352.39M
"4,133.",Shimmer Lake,(2017),86 min,86 min,"
Crime, Drama, Mystery            ",6.2,"
    An inventive crime thriller told backwards -- reversing day by day through a week -- following a local sheriff's quest to unlock the mystery of three small town criminals and a bank heist gone wrong.",Oren Uziel,"Benjamin Walker, Rainn Wilson, Stephanie Sigman, John Michael Higgins",NaN
"4,134.",I'm Still Here,(I) (2010),R,108 min,"
Comedy, Drama, Music            ",6.2,"
    Documents Joaquin Phoenix's transition from the acting world to a career as an aspiring rapper.",Casey Affleck,"Joaquin Phoenix, Antony Langdon, Carey Perloff, Larry McHale",$0.41M
"4,135.",Butter,(2011),R,90 min,"
Comedy, Drama            ",6.2,"
    In Iowa, a girl in foster care discovers her talent for butter carving and finds herself pitted against an ambitious local woman in their town's annual contest.",Jim Field Smith,"Jennifer Garner, Yara Shahidi, Ty Burrell, Olivia Wilde",$0.07M
"4,136.",Devil,(2010),PG-13,80 min,"
Horror, Mystery, Thriller            ",6.2,"
    A group of people are trapped in an elevator and the Devil is mysteriously amongst them.",John Erick Dowdle,"Chris Messina, Caroline Dhavernas, Bokeem Woodbine, Logan Marshall-Green",$33.58M
"4,137.",Blitz,(2011),A,97 min,"
Action, Crime, Thriller            ",6.2,"
    A tough cop is dispatched to take down a serial killer who has been targeting police officers.",Elliott Lester,"Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton",NaN
"4,138.",300: Rise of an Empire,(2014),R,102 min,"
Action, Drama            ",6.2,"
    Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",$106.58M
"4,139.",Broken City,(2013),A,109 min,"
Action, Crime, Drama            ",6.2,"
    In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure: Mayor Nicholas Hostetler.",Allen Hughes,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright",$19.70M
"4,140.",The Men Who Stare at Goats,(2009),R,94 min,"
Comedy, War            ",6.2,"
    A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",Grant Heslov,"Ewan McGregor, George Clooney, Kevin Spacey, Jeff Bridges",$32.42M
"4,141.",Seeking Justice,(2011),R,105 min,"
Action, Crime, Drama            ",6.2,"
    After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score. Then he discovers they want a 'favor' from him in return.",Roger Donaldson,"Nicolas Cage, January Jones, Guy Pearce, Harold Perrineau",$0.04M
"4,142.",London Boulevard,(2010),R,103 min,"
Crime, Drama            ",6.2,"
    An ex-con with a reputation tries to go straight by working as a handy man for a reclusive actress but this is unfortunately not the wish of London's underground crime lord.",William Monahan,"Colin Farrell, Keira Knightley, Ray Winstone, David Thewlis",$0.01M
"4,143.",Rambo: Last Blood,(2019),A,89 min,"
Action, Thriller            ",6.2,"
    Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.",Adrian Grunberg,"Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza",$18.87M
"4,144.",Jack Ryan: Shadow Recruit,(2014),UA,105 min,"
Action, Drama, Thriller            ",6.2,"
    Jack Ryan, as a young covert C.I.A. analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",Kenneth Branagh,"Chris Pine, Kevin Costner, Keira Knightley, Kenneth Branagh",$50.58M
"4,145.",Diary of a Wimpy Kid,(2010),PG,120 min,"
Comedy, Drama, Family            ",6.2,"
    The adventures of a 12 year old who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year.",Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachael Harris, Steve Zahn",$64.00M
"4,146.",The Five-Year Engagement,(2012),R,124 min,"
Comedy, Romance            ",6.2,"
    One year after meeting, Tom proposes to his girlfriend, Violet, but unexpected events keep tripping them up as they look to walk down the aisle together.",Nicholas Stoller,"Jason Segel, Emily Blunt, Chris Pratt, Alison Brie",$28.84M
"4,147.",Step Up 3D,(2010),PG-13,107 min,"
Drama, Music, Romance            ",6.2,"
    A tight-knit group of New York City street dancers find themselves pitted against the world's best hip hop dancers in a high-stakes showdown.",Jon M. Chu,"Sharni Vinson, Rick Malambri, Adam Sevani, Alyson Stoner",$42.40M
"4,148.",Peacock,(2010),PG-13,90 min,"
Drama, Thriller            ",6.2,"
    A train accident in rural Nebraska gradually unveils a mystery involving the town's bank clerk.",Michael Lander,"Cillian Murphy, Ellen Page, Susan Sarandon, Josh Lucas",NaN
"4,149.",Bunraku,(2010),R,124 min,"
Action, Drama, Fantasy            ",6.2,"
    The story of a a young man who has spent his life searching for revenge only to find himself up against a bigger challenge than he originally bargained for.",Guy Moshe,"Josh Hartnett, Demi Moore, Woody Harrelson, Gackt",NaN
"4,150.",Gentlemen Broncos,(2009),PG-13,89 min,"
Adventure, Comedy, Sci-Fi            ",6.2,"
    A teenager attends a fantasy writers' convention where he discovers his idea has been stolen by an established novelist.",Jared Hess,"Michael Angarano, Jemaine Clement, Mike White, John Baker",$0.11M
"4,151.",The Karate Kid,(2010),U,140 min,"
Action, Drama, Family            ",6.2,"
    Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",Harald Zwart,"Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han",$176.59M
"4,152.",Takers,(2010),PG-13,107 min,"
Action, Crime, Thriller            ",6.2,"
    A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.",John Luessenhop,"Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy",$57.74M
"4,153.",Crank: High Voltage,(2009),R,96 min,"
Action, Thriller            ",6.2,"
    Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker which requires regular jolts of electricity to keep working.",Mark Neveldine,"Brian Taylor, Jason Statham, Amy Smart, Clifton Collins Jr.",$13.63M
"4,154.",Dark Shadows,(2012),UA,113 min,"
Comedy, Fantasy, Horror            ",6.2,"
    An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.",Tim Burton,"Johnny Depp, Michelle Pfeiffer, Eva Green, Helena Bonham Carter",$79.73M
"4,155.",The Big Year,(2011),PG,100 min,"
Comedy            ",6.2,"
    Two bird enthusiasts try to defeat the cocky, cutthroat world record holder in a year-long bird-spotting competition.",David Frankel,"Owen Wilson, Jack Black, Steve Martin, John Cleese",$7.20M
"4,156.",The Eagle,(2011),PG-13,114 min,"
Action, Adventure, Drama            ",6.2,"
    In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.",Kevin Macdonald,"Channing Tatum, Jamie Bell, Donald Sutherland, István Göz",$19.49M
"4,157.",The Rocker,(2008),PG-13,102 min,"
Comedy, Music            ",6.2,"
    In the 1980s, a drummer is abandoned by his band just before they become rock superstars. Twenty years later, the drummer sees his second chance at stardom arise when he is asked to perform with his teenage nephew's high school rock band.",Peter Cattaneo,"Rainn Wilson, Josh Gad, Christina Applegate, Teddy Geiger",$6.41M
"4,158.",Wall Street: Money Never Sleeps,(2010),PG-13,133 min,"
Drama            ",6.2,"
    Now out of prison but still disgraced by his peers, Gordon Gekko works his future son-in-law, an idealistic stock broker, when he sees an opportunity to take down a Wall Street enemy and rebuild his empire.",Oliver Stone,"Shia LaBeouf, Michael Douglas, Carey Mulligan, Josh Brolin",$52.47M
"4,159.",Step Up 2: The Streets,(2008),PG-13,98 min,"
Drama, Music, Romance            ",6.2,"
    Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.",Jon M. Chu,"Robert Hoffman, Briana Evigan, Cassie Ventura, Adam Sevani",$58.02M
"4,160.",Assassination of a High School President,(2008),R,93 min,"
Comedy, Crime, Mystery            ",6.2,"
    At a Catholic high school, a sophomore newspaper reporter investigates a case of stolen SAT exams. He thinks he's nailed the suspect and managed to get the popular girl when he realises a larger conspiracy is afoot.",Brett Simon,"Reece Thompson, Mischa Barton, Bruce Willis, Michael Rapaport",NaN
"4,161.",The Sisterhood of the Traveling Pants 2,(2008),PG-13,119 min,"
Comedy, Drama, Romance            ",6.2,"
    Four college freshmen and best friends find that it may take more than a shared pair of jeans to help them stay in touch as their lives go in different directions.",Sanaa Hamri,"America Ferrera, Alexis Bledel, Amber Tamblyn, Blake Lively",$44.09M
"4,162.",The Legend of Tarzan,(2016),UA,110 min,"
Action, Adventure, Drama            ",6.2,"
    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",$126.64M
"4,163.",The Thing,(I) (2011),R,103 min,"
Horror, Mystery, Sci-Fi            ",6.2,"
    At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson.",Matthijs van Heijningen Jr.,"Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Eric Christian Olsen",$16.93M
"4,164.",Lions for Lambs,(2007),R,92 min,"
Crime, Drama, Mystery            ",6.2,"
    Injuries sustained by two Army rangers behind enemy lines in Afghanistan set off a sequence of events involving a congressman, a journalist and a professor.",Robert Redford,"Tom Cruise, Meryl Streep, Robert Redford, Michael Peña",$15.00M
"4,165.",Untraceable,(2008),R,101 min,"
Crime, Mystery, Thriller            ",6.2,"
    FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.",Gregory Hoblit,"Diane Lane, Colin Hanks, Joseph Cross, Billy Burke",$28.69M
